,aggregate_actual,aggregate_sarimax,cluster1_actual,cluster1_sarimax
2015-10-28 10:00:00,14936.505000000001,15261.074668866855,14936.505000000001,15261.074668866855
2015-10-28 11:00:00,14905.695,15377.734306506107,14905.695,15377.734306506107
2015-10-28 12:00:00,15285.282500000001,15784.344481175975,15285.282500000001,15784.344481175975
2015-10-28 13:00:00,16024.7725,16427.61264000867,16024.7725,16427.61264000867
2015-10-28 14:00:00,16370.455,16855.809824661486,16370.455,16855.809824661486
2015-10-28 15:00:00,17409.274999999998,17705.592669482114,17409.274999999998,17705.592669482114
2015-10-28 16:00:00,18347.445,18522.686698002206,18347.445,18522.686698002206
2015-10-28 17:00:00,18985.894999999997,19158.1158140915,18985.894999999997,19158.1158140915
2015-10-28 18:00:00,19388.2125,19506.35210647132,19388.2125,19506.35210647132
2015-10-28 19:00:00,19724.6,19619.374711269353,19724.6,19619.374711269353
2015-10-28 20:00:00,19795.0075,19775.14261148343,19795.0075,19775.14261148343
2015-10-28 21:00:00,19935.1,19817.933306092295,19935.1,19817.933306092295
2015-10-28 22:00:00,19930.46,19712.457716279587,19930.46,19712.457716279587
2015-10-28 23:00:00,19597.0775,19469.811100664865,19597.0775,19469.811100664865
2015-10-29 00:00:00,18954.1,18848.560786411905,18954.1,18848.560786411905
2015-10-29 01:00:00,18479.760000000002,18462.259736176788,18479.760000000002,18462.259736176788
2015-10-29 02:00:00,17990.64,17985.79495345922,17990.64,17985.79495345922
2015-10-29 03:00:00,17581.25,17639.906713316574,17581.25,17639.906713316574
2015-10-29 04:00:00,16992.77,17266.150679450173,16992.77,17266.150679450173
2015-10-29 05:00:00,16128.49,16561.59877374829,16128.49,16561.59877374829
2015-10-29 06:00:00,15605.345000000001,16112.721656566115,15605.345000000001,16112.721656566115
2015-10-29 07:00:00,15290.72,15685.324900232254,15290.72,15685.324900232254
2015-10-29 08:00:00,15012.400000000001,15501.551508672535,15012.400000000001,15501.551508672535
2015-10-29 09:00:00,14920.11,15489.80735853287,14920.11,15489.80735853287
2015-10-29 10:00:00,14848.61,15549.720927395332,14848.61,15549.720927395332
2015-10-29 11:00:00,14918.310000000001,15655.867599120575,14918.310000000001,15655.867599120575
2015-10-29 12:00:00,15232.240000000002,16104.111364645352,15232.240000000002,16104.111364645352
2015-10-29 13:00:00,16030.400000000001,16505.70534951807,16030.400000000001,16505.70534951807
2015-10-29 14:00:00,16435.449999999997,16815.96918137437,16435.449999999997,16815.96918137437
2015-10-29 15:00:00,17479.93,17597.31300981024,17479.93,17597.31300981024
2015-10-29 16:00:00,18634.42,18362.60421257543,18634.42,18362.60421257543
2015-10-29 17:00:00,19466.57,18846.47525370171,19466.57,18846.47525370171
2015-10-29 18:00:00,19730.01,19172.757210711246,19730.01,19172.757210711246
2015-10-29 19:00:00,19869.449999999997,19302.79982663541,19869.449999999997,19302.79982663541
2015-10-29 20:00:00,19893.06,19391.74175761371,19893.06,19391.74175761371
2015-10-29 21:00:00,19860.33,19455.19345143265,19860.33,19455.19345143265
2015-10-29 22:00:00,19718.92,19385.051714327547,19718.92,19385.051714327547
2015-10-29 23:00:00,19520.59,19237.13703989446,19520.59,19237.13703989446
